,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,time_signature_3,time_signature_4,album
0,0.683,0.445,94822.0,0.161,0.0,5.0,0.0955,-13.174,0.232,106.771,0.31,1.0,0.0,0.0
1,3.17e-05,0.334,196589.0,0.786,0.0,11.0,0.517,-5.002,0.0592,182.933,0.901,0.0,1.0,0.0
2,0.177,0.667,207851.0,0.824,0.0152,8.0,0.0933,-5.867,0.0665,114.998,0.518,0.0,1.0,0.0
3,0.776,0.413,349622.0,0.79,0.247,11.0,0.0764,-7.946,0.274,138.779,0.0391,0.0,1.0,0.0
4,0.000607,0.472,252926.0,0.745,2.74e-05,4.0,0.0957,-5.297,0.0356,180.06,0.0631,0.0,1.0,0.0
5,0.835,0.572,256689.0,0.155,0.000137,6.0,0.0906,-14.405,0.0344,109.923,0.0949,1.0,0.0,0.0
6,0.0495,0.664,225956.0,0.524,8.18e-06,2.0,0.075,-5.178,0.0283,91.027,0.475,0.0,1.0,0.0
7,0.0368,0.444,206756.0,0.669,0.0,3.0,0.109,-6.23,0.0432,137.977,0.0731,0.0,1.0,0.0
8,0.932,0.541,213335.0,0.379,0.000332,0.0,0.117,-13.21,0.0808,68.041,0.385,1.0,0.0,0.0
9,0.349,0.161,230998.0,0.437,0.000677,4.0,0.13,-8.869,0.0355,80.699,0.32,1.0,0.0,0.0
10,0.000254,0.618,248336.0,0.837,0.000378,1.0,0.0618,-5.338,0.0304,121.227,0.526,0.0,1.0,0.0
11,0.801,0.425,236073.0,0.266,0.012,6.0,0.126,-12.968,0.0311,127.932,0.165,0.0,1.0,0.0
12,0.872,0.342,246888.0,0.229,0.00455,4.0,0.0799,-14.92,0.0359,112.109,0.129,1.0,0.0,0.0
13,0.483,0.55,231992.0,0.424,2.45e-06,3.0,0.0972,-7.136,0.0285,121.326,0.173,0.0,1.0,0.0
14,0.00527,0.376,314663.0,0.473,0.00162,4.0,0.123,-5.636,0.0325,148.835,0.0398,0.0,1.0,0.0
15,0.00113,0.247,79920.0,0.412,0.472,2.0,0.218,-14.227,0.0434,107.9,0.0509,0.0,1.0,1.0
16,9.6e-05,0.481,206880.0,0.963,0.000745,5.0,0.105,-4.879,0.0906,95.015,0.622,0.0,1.0,1.0
17,0.0915,0.422,216560.0,0.658,8.17e-05,7.0,0.115,-8.197,0.0728,114.25,0.619,0.0,1.0,1.0
18,0.000532,0.614,224667.0,0.938,0.0,11.0,0.368,-4.461,0.0611,100.058,0.607,0.0,1.0,1.0
19,1.31e-05,0.408,207000.0,0.974,4.86e-05,2.0,0.526,-4.139,0.126,148.298,0.173,0.0,1.0,1.0
20,0.0182,0.58,167747.0,0.854,2.89e-06,4.0,0.598,-6.575,0.0644,120.031,0.639,0.0,1.0,1.0
21,0.89,0.386,74747.0,0.432,0.977,4.0,0.0887,-16.452,0.0399,99.226,0.055,0.0,1.0,1.0
22,0.00822,0.706,202293.0,0.83,0.00112,2.0,0.0762,-4.918,0.0274,118.446,0.886,0.0,1.0,1.0
23,0.00301,0.597,239893.0,0.952,8.7e-05,2.0,0.789,-5.293,0.051,107.117,0.841,0.0,1.0,1.0
24,0.000363,0.621,254507.0,0.692,1.75e-05,4.0,0.335,-6.858,0.0291,99.806,0.381,0.0,1.0,1.0
25,0.00392,0.657,254613.0,0.913,0.00149,11.0,0.466,-4.984,0.0528,108.036,0.906,0.0,1.0,1.0
26,0.919,0.0803,79573.0,0.264,0.885,6.0,0.0785,-19.354,0.0406,177.472,0.0787,0.0,1.0,1.0
27,0.00421,0.62,239240.0,0.851,0.0,4.0,0.104,-4.747,0.0352,116.984,0.235,0.0,1.0,1.0
28,0.547,0.708,206733.0,0.539,0.0174,1.0,0.0849,-10.28,0.0646,96.987,0.163,0.0,1.0,1.0
29,0.0473,0.485,221387.0,0.848,0.000113,0.0,0.0718,-7.065,0.0678,99.064,0.463,0.0,1.0,1.0
30,0.923,0.347,174213.0,0.0311,0.00112,11.0,0.0661,-19.26,0.0513,140.127,0.124,0.0,1.0,1.0
